event,pc_time_s,controller_timestamp,robot_mode,axis,target_speed_deg_s,target_delta_deg,selected_actual_deg_s,speed_error_deg_s,command_interval_ms,command_latency_ms,target_x,target_y,target_z,target_rx,target_ry,target_rz,actual_x,actual_y,actual_z,actual_rx,actual_ry,actual_rz,tcp_vx,tcp_vy,tcp_vz,tcp_wx,tcp_wy,tcp_wz,response
feedback,0.004867,1786343940327,5,Ry,0.000000,0.000000,-0.000000,-0.000000,,,360.000427,-134.999954,479.997345,179.999924,44.921089,179.999924,360.000305,-135.000092,479.996979,179.999924,44.921009,179.999939,0.021213,-0.000000,0.033377,0.000000,0.000000,-0.000000,
command,0.000001,,,Ry,0.000009,0.000000,,,,9.419,360.000427,-134.999954,479.997345,179.999924,44.921089,179.999924,,,,,,,,,,,,,"0,{1035},ServoP(360.000427,-134.999954,479.997345,179.999924,44.921089,179.999924,t=0.020000);"
feedback,0.012436,1786343940335,7,Ry,0.000009,0.000000,-0.000000,-0.000009,,,360.000427,-134.999954,479.997345,179.999924,44.921089,179.999924,360.000336,-134.999954,479.997437,179.999924,44.921089,179.999924,0.031109,-0.043143,0.007864,0.004849,0.000000,-0.011728,
feedback,0.020691,1786343940344,7,Ry,0.000009,0.000000,-0.006866,-0.006875,,,360.000427,-134.999954,479.997345,179.999924,44.921089,179.999924,360.000336,-135.000137,479.996674,179.999969,44.920982,179.999969,-0.018526,0.031638,-0.051007,0.014586,0.006866,0.014546,
command,0.019995,,,Ry,0.199955,0.001999,,,19.997,4.833,360.000427,-134.999954,479.997345,179.999924,44.923088,179.999924,,,,,,,,,,,,,"0,{1036},ServoP(360.000427,-134.999954,479.997345,179.999924,44.923088,179.999924,t=0.020000);"
feedback,0.028718,1786343940352,7,Ry,0.199955,0.001999,0.006866,-0.193089,,,360.000427,-134.999954,479.997345,179.999924,44.923088,179.999924,360.000366,-134.999832,479.996857,179.999939,44.921009,179.999954,0.003596,0.096833,0.043143,0.009711,-0.006866,0.013720,
feedback,0.037117,1786343940361,7,Ry,0.199955,0.001999,-0.006866,-0.206821,,,360.000427,-134.999954,479.997345,179.999924,44.923088,179.999924,360.000305,-135.000137,479.996979,179.999939,44.921009,179.999939,-0.003596,-0.075740,-0.043143,0.000013,0.006866,-0.004022,
feedback,0.045090,1786343940369,7,Ry,0.199955,0.001999,0.013733,-0.186222,,,360.000427,-134.999954,479.997345,179.999924,44.923088,179.999924,360.000000,-135.000092,479.997192,179.999924,44.921062,179.999939,-0.047628,-0.011505,0.060773,0.019435,-0.013733,0.002817,
command,0.040305,,,Ry,0.403055,0.008123,,,20.311,5.071,360.000427,-134.999954,479.997345,179.999924,44.929212,179.999924,,,,,,,,,,,,,"0,{1037},ServoP(360.000427,-134.999954,479.997345,179.999924,44.929212,179.999924,t=0.020000);"
feedback,0.054171,1786343940378,7,Ry,0.403055,0.008123,-0.020599,-0.423654,,,360.000427,-134.999954,479.997345,179.999924,44.929212,179.999924,360.000458,-135.000168,479.996735,179.999969,44.920952,179.999939,0.027853,-0.075740,-0.103916,0.004862,0.020599,-0.008884,
feedback,0.062067,1786343940386,7,Ry,0.403055,0.008123,-0.006866,-0.409921,,,360.000427,-134.999954,479.997345,179.999924,44.929212,179.999924,360.000305,-134.999908,479.996857,179.999893,44.921009,179.999924,0.007549,0.042184,-0.076521,0.019448,0.006866,0.019394,
command,0.059737,,,Ry,0.597375,0.017843,,,19.444,5.752,360.000427,-134.999954,479.997345,179.999924,44.938932,179.999924,,,,,,,,,,,,,"0,{1038},ServoP(360.000427,-134.999954,479.997345,179.999924,44.938932,179.999924,t=0.020000);"
feedback,0.070341,1786343940394,7,Ry,0.597375,0.017843,0.006866,-0.590509,,,360.000427,-134.999954,479.997345,179.999924,44.938932,179.999924,360.000183,-135.000000,479.997040,-179.999939,44.921036,-179.999924,-0.071015,-0.043143,0.068657,-0.014546,-0.006866,0.007720,
feedback,0.078440,1786343940399,7,Ry,0.597375,0.017843,0.013733,-0.583642,,,360.000427,-134.999954,479.997345,179.999924,44.938932,179.999924,360.000214,-134.999908,479.997528,179.999939,44.921089,-180.000000,0.010977,0.021092,0.127528,0.019421,-0.013733,-0.000027,
feedback,0.086353,1786343940407,7,Ry,0.597375,0.017843,-0.013733,-0.611108,,,360.000427,-134.999954,479.997345,179.999924,44.938932,179.999924,360.000549,-134.999832,479.996887,179.999969,44.921009,179.999985,0.047455,0.065194,-0.153041,-0.009724,0.013733,0.004036,
command,0.079973,,,Ry,0.799735,0.031979,,,20.229,5.353,360.000427,-134.999954,479.997345,179.999924,44.953068,179.999924,,,,,,,,,,,,,"0,{1039},ServoP(360.000427,-134.999954,479.997345,179.999924,44.953068,179.999924,t=0.020000);"
feedback,0.094343,1786343940415,7,Ry,0.799735,0.031979,0.006866,-0.792869,,,360.000427,-134.999954,479.997345,179.999924,44.953068,179.999924,360.000397,-134.999573,479.997162,179.999924,44.921036,-179.999985,0.024809,0.107379,0.076521,0.014573,-0.006866,0.018568,
feedback,0.102462,1786343940424,7,Ry,0.799735,0.031979,0.006866,-0.792869,,,360.000427,-134.999954,479.997345,179.999924,44.953068,179.999924,360.000122,-135.000168,479.997040,179.999969,44.921036,179.999939,-0.040079,-0.032597,-0.015747,0.004862,-0.006866,-0.002018,
command,0.099540,,,Ry,0.995398,0.049541,,,19.573,5.150,360.000427,-134.999954,479.997345,179.999924,44.970630,179.999924,,,,,,,,,,,,,"0,{1040},ServoP(360.000427,-134.999954,479.997345,179.999924,44.970630,179.999924,t=0.020000);"
