event,pc_time_s,controller_timestamp,robot_mode,axis,target_speed_deg_s,target_delta_deg,selected_actual_deg_s,speed_error_deg_s,command_interval_ms,command_latency_ms,target_x,target_y,target_z,target_rx,target_ry,target_rz,actual_x,actual_y,actual_z,actual_rx,actual_ry,actual_rz,tcp_vx,tcp_vy,tcp_vz,tcp_wx,tcp_wy,tcp_wz,response
feedback,0.008986,1786343902448,5,Rx,0.000000,0.000000,-0.027466,-0.027466,,,359.999939,-135.000168,479.999664,-180.000000,-0.000027,179.999939,359.999969,-135.000000,480.000214,180.000000,0.000027,180.000000,0.020037,-0.000959,0.106399,0.027466,-0.013733,-0.013733,
feedback,0.017549,1786343902456,5,Rx,0.000000,0.000000,0.013733,0.013733,,,359.999939,-135.000168,479.999664,-180.000000,-0.000027,179.999939,360.000092,-134.999817,480.000061,-179.999893,0.000027,-179.999969,0.019774,0.108337,0.043143,-0.013733,-0.006866,0.013733,
feedback,0.021331,1786343902465,7,Rx,0.000000,0.000000,-0.006866,-0.006866,,,359.999939,-135.000168,479.999664,-180.000000,-0.000027,179.999939,359.999969,-134.999786,479.999329,-179.999924,-0.000110,-179.999893,-0.040075,0.096832,-0.212797,0.006866,0.027466,0.027466,
command,0.000002,,,Rx,0.000015,0.000000,,,,12.449,359.999939,-135.000168,479.999664,-180.000000,-0.000027,179.999939,,,,,,,,,,,,,"0,{279},ServoP(359.999939,-135.000168,479.999664,-180.000000,-0.000027,179.999939,t=0.020000);"
feedback,0.030253,1786343902473,7,Rx,0.000015,0.000000,-0.006866,-0.006881,,,359.999939,-135.000168,479.999664,-180.000000,-0.000027,179.999939,359.999939,-135.000305,479.999664,-179.999924,-0.000027,179.999939,-0.008173,-0.075740,-0.106399,0.006866,-0.000000,-0.013733,
command,0.020454,,,Rx,0.204544,0.002092,,,20.479,7.303,359.999939,-135.000168,479.999664,-179.997908,-0.000027,179.999939,,,,,,,,,,,,,"0,{280},ServoP(359.999939,-135.000168,479.999664,-179.997908,-0.000027,179.999939,t=0.020000);"
feedback,0.037789,1786343902482,7,Rx,0.204544,0.002092,0.000000,-0.204544,,,359.999939,-135.000168,479.999664,-179.997908,-0.000027,179.999939,359.999725,-135.000336,479.999176,-179.999893,-0.000110,179.999939,-0.131515,-0.129429,-0.227178,0.000000,0.034332,-0.027466,
feedback,0.046836,1786343902490,7,Rx,0.204544,0.002092,-0.000000,-0.204544,,,359.999939,-135.000168,479.999664,-179.997908,-0.000027,179.999939,360.000214,-135.000214,479.999847,-179.999863,-0.000027,-179.999939,0.067963,-0.000000,0.038818,0.000000,-0.013733,0.006866,
feedback,0.054436,1786343902494,7,Rx,0.204544,0.002092,-0.000000,-0.204544,,,359.999939,-135.000168,479.999664,-179.997908,-0.000027,179.999939,360.000214,-135.000214,479.999847,-179.999863,-0.000027,179.999969,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.020599,
command,0.040225,,,Rx,0.402245,0.008090,,,19.756,8.458,359.999939,-135.000168,479.999664,-179.991910,-0.000027,179.999939,,,,,,,,,,,,,"0,{281},ServoP(359.999939,-135.000168,479.999664,-179.991910,-0.000027,179.999939,t=0.020000);"
feedback,0.063294,1786343902503,7,Rx,0.402245,0.008090,0.006866,-0.395379,,,359.999939,-135.000168,479.999664,-179.991910,-0.000027,179.999939,359.999786,-135.000336,479.999237,-179.999893,-0.000082,179.999969,-0.043886,-0.010546,-0.034493,-0.006866,-0.006866,-0.006866,
feedback,0.070602,1786343902511,7,Rx,0.402245,0.008090,-0.000000,-0.402245,,,359.999939,-135.000168,479.999664,-179.991910,-0.000027,179.999939,359.999969,-135.000519,480.000031,-179.999893,-0.000000,179.999969,0.032513,-0.086286,0.173979,-0.000000,-0.027466,-0.006866,
command,0.060289,,,Rx,0.602893,0.018174,,,20.072,4.228,359.999939,-135.000168,479.999664,-179.981826,-0.000027,179.999939,,,,,,,,,,,,,"0,{282},ServoP(359.999939,-135.000168,479.999664,-179.981826,-0.000027,179.999939,t=0.020000);"
feedback,0.078931,1786343902520,7,Rx,0.602893,0.018174,-0.006866,-0.609759,,,359.999939,-135.000168,479.999664,-179.981826,-0.000027,179.999939,360.000031,-135.000000,479.999756,-179.999893,-0.000055,-179.999969,0.016287,0.053689,-0.110724,0.006866,0.020599,0.006866,
feedback,0.086896,1786343902528,7,Rx,0.602893,0.018174,0.006866,-0.596027,,,359.999939,-135.000168,479.999664,-179.981826,-0.000027,179.999939,360.000000,-135.000381,479.999451,-179.999863,-0.000082,179.999969,-0.050358,-0.096833,-0.163923,-0.006866,0.027466,-0.020599,
command,0.079922,,,Rx,0.799223,0.031938,,,19.619,3.979,359.999939,-135.000168,479.999664,-179.968062,-0.000027,179.999939,,,,,,,,,,,,,"0,{283},ServoP(359.999939,-135.000168,479.999664,-179.968062,-0.000027,179.999939,t=0.020000);"
feedback,0.095082,1786343902536,7,Rx,0.799223,0.031938,-0.020599,-0.819822,,,359.999939,-135.000168,479.999664,-179.968062,-0.000027,179.999939,360.000153,-134.999908,480.000580,-179.999939,0.000055,-179.999939,-0.002984,0.031638,0.024437,0.020599,0.006866,0.006866,
feedback,0.103603,1786343902545,7,Rx,0.799223,0.031938,0.006866,-0.792357,,,359.999939,-135.000168,479.999664,-179.968062,-0.000027,179.999939,360.000122,-135.000305,479.999695,-179.999924,-0.000027,179.999969,0.003092,-0.010546,-0.135161,-0.006866,0.013733,-0.013733,
feedback,0.111771,1786343902553,7,Rx,0.799223,0.031938,0.013733,-0.785490,,,359.999939,-135.000168,479.999664,-179.968062,-0.000027,179.999939,359.999817,-135.000168,479.999176,-179.999893,-0.000110,179.999969,-0.086682,-0.107379,-0.159598,-0.013733,0.020599,-0.013733,
command,0.099409,,,Rx,0.994088,0.049411,,,19.511,4.163,359.999939,-135.000168,479.999664,-179.950589,-0.000027,179.999939,,,,,,,,,,,,,"0,{284},ServoP(359.999939,-135.000168,479.999664,-179.950589,-0.000027,179.999939,t=0.020000);"
feedback,0.120566,1786343902562,7,Rx,0.994088,0.049411,-0.013733,-1.007821,,,359.999939,-135.000168,479.999664,-179.950589,-0.000027,179.999939,360.000305,-134.999908,480.000458,-179.999939,0.000055,-179.999924,0.124827,0.064236,0.319196,0.013733,-0.041199,0.027466,
feedback,0.128105,1786343902570,7,Rx,0.994088,0.049411,-0.006866,-1.000954,,,359.999939,-135.000168,479.999664,-179.950589,-0.000027,179.999939,360.000031,-135.000427,480.000244,-179.999939,0.000027,179.999939,-0.069736,-0.118884,0.081961,0.006866,-0.006866,-0.027466,
command,0.119011,,,Rx,1.190112,0.070818,,,19.575,4.882,359.999939,-135.000168,479.999664,-179.929182,-0.000027,179.999939,,,,,,,,,,,,,"0,{285},ServoP(359.999939,-135.000168,479.999664,-179.929182,-0.000027,179.999939,t=0.020000);"
feedback,0.136477,1786343902579,7,Rx,1.190112,0.070818,-0.013733,-1.203845,,,359.999939,-135.000168,479.999664,-179.929182,-0.000027,179.999939,359.999725,-135.000565,479.999542,-179.999969,-0.000082,179.999924,-0.079120,-0.065194,-0.120780,0.013733,0.020599,-0.013733,
