event,pc_time_s,controller_timestamp,robot_mode,axis,target_speed_deg_s,target_delta_deg,selected_actual_deg_s,speed_error_deg_s,command_interval_ms,command_latency_ms,target_x,target_y,target_z,target_rx,target_ry,target_rz,actual_x,actual_y,actual_z,actual_rx,actual_ry,actual_rz,tcp_vx,tcp_vy,tcp_vz,tcp_wx,tcp_wy,tcp_wz,response
feedback,0.006095,1786413943091,5,Rz,0.000000,0.000000,-0.013733,-0.013733,,,249.999802,-135.000076,479.999908,134.999985,89.999962,134.999985,250.000214,-134.999878,480.000092,-0.000082,89.999947,-0.000000,0.027326,-0.019414,0.071185,-0.013733,-0.020599,-0.000000,
command,0.000010,,,Rz,10.000000,30.000000,,,,9.574,249.999802,-135.000076,479.999908,134.999985,89.999962,134.999985,,,,,,,,,,,,,"0,{1331},RelMovLTool(0.000000,0.000000,0.000000,0.000000,0.000000,30.000000,a=30,v=13,cp=0);"
feedback,0.012029,1786413943100,7,Rz,10.000000,30.000000,0.006867,-9.993133,,,249.999802,-135.000076,479.999908,134.999985,89.999962,134.999985,249.999863,-135.000000,480.000092,90.000000,89.999969,90.000053,0.084489,-0.008868,-0.130388,0.006866,0.034332,0.006866,
feedback,0.020612,1786413943109,7,Rz,10.000000,30.000000,-0.013733,-10.013733,,,249.999802,-135.000076,479.999908,134.999985,89.999962,134.999985,249.999863,-134.999832,480.000061,-0.000027,89.999969,0.000027,0.016179,0.040507,-0.000000,-0.013733,-0.000000,0.013733,
feedback,0.028873,1786413943117,7,Rz,10.000000,30.000000,0.000000,-10.000000,,,249.999802,-135.000076,479.999908,134.999985,89.999962,134.999985,250.000229,-134.999725,480.000183,-48.996098,90.000000,-48.996017,0.178689,0.100428,-0.030204,-0.000000,0.020599,0.027466,
feedback,0.036976,1786413943125,7,Rz,10.000000,30.000000,0.006866,-9.993134,,,249.999802,-135.000076,479.999908,134.999985,89.999962,134.999985,250.000092,-135.000046,480.000031,90.000000,89.999969,89.999969,0.043505,-0.010546,0.071185,0.006866,-0.020599,-0.006866,
feedback,0.046121,1786413943134,7,Rz,10.000000,30.000000,-0.020599,-10.020599,,,249.999802,-135.000076,479.999908,134.999985,89.999962,134.999985,250.000168,-134.999725,480.000183,-26.565073,89.999939,-26.564991,0.046738,0.059921,0.010546,-0.020599,-0.006866,0.013733,
feedback,0.053158,1786413943142,7,Rz,10.000000,30.000000,-0.000000,-10.000000,,,249.999802,-135.000076,479.999908,134.999985,89.999962,134.999985,249.999527,-134.999802,480.000732,14.036192,89.999886,14.036274,-0.112890,0.040507,0.199895,0.000000,-0.041199,0.013733,
feedback,0.061702,1786413943151,7,Rz,10.000000,30.000000,-0.013733,-10.013733,,,249.999802,-135.000076,479.999908,134.999985,89.999962,134.999985,249.999924,-134.999878,480.000275,0.000000,89.999947,0.000027,0.014381,0.010546,-0.040507,-0.013733,0.013733,0.006866,
feedback,0.070022,1786413943159,7,Rz,10.000000,30.000000,-0.013733,-10.013733,,,249.999802,-135.000076,479.999908,134.999985,89.999962,134.999985,250.000122,-134.999557,480.000671,-0.000055,89.999832,0.000082,-0.021211,0.151481,0.180481,-0.013733,-0.041199,0.048065,
feedback,0.077680,1786413943168,7,Rz,10.000000,30.000000,0.020599,-9.979401,,,249.999802,-135.000076,479.999908,134.999985,89.999962,134.999985,249.999756,-135.000000,480.000549,73.300758,89.999710,73.300758,0.029124,-0.031638,0.009586,0.020599,0.006866,-0.020599,
feedback,0.086286,1786413943176,7,Rz,10.000000,30.000000,0.157928,-9.842072,,,249.999802,-135.000076,479.999908,134.999985,89.999962,134.999985,249.999878,-134.999832,480.000580,85.236359,89.998680,85.236412,0.088446,0.019414,-0.009829,0.157928,0.006867,0.000000,
feedback,0.094347,1786413943180,7,Rz,10.000000,30.000000,0.212860,-9.787140,,,249.999802,-135.000076,479.999908,134.999985,89.999962,134.999985,249.999573,-135.000122,480.000305,89.274773,89.997833,89.274750,-0.075862,-0.070467,-0.071185,0.212860,0.020599,-0.020599,
feedback,0.102534,1786413943189,7,Rz,10.000000,30.000000,0.563049,-9.436951,,,249.999802,-135.000076,479.999908,134.999985,89.999962,134.999985,249.999573,-134.999954,480.000305,89.189262,89.994179,89.189293,-0.113612,0.019414,0.069750,0.563049,-0.020599,0.000001,
feedback,0.110621,1786413943197,7,Rz,10.000000,30.000000,0.995636,-9.004364,,,249.999802,-135.000076,479.999908,134.999985,89.999962,134.999985,249.999741,-135.000000,480.000366,89.643394,89.986763,89.643394,-0.014381,-0.021092,0.040507,0.995636,-0.013733,-0.013731,
feedback,0.118974,1786413943206,7,Rz,10.000000,30.000000,1.249695,-8.750305,,,249.999802,-135.000076,479.999908,134.999985,89.999962,134.999985,249.999802,-134.999908,480.000580,89.719482,89.977562,89.719536,-0.003234,-0.049375,0.060639,1.249695,-0.013732,-0.006864,
feedback,0.127017,1786413943214,7,Rz,10.000000,30.000000,1.565552,-8.434448,,,249.999802,-135.000076,479.999908,134.999985,89.999962,134.999985,249.999908,-135.000000,479.999939,90.078812,89.960068,90.078865,0.057524,0.052731,-0.110974,1.565552,0.034334,0.034331,
feedback,0.135197,1786413943223,7,Rz,10.000000,30.000000,1.915741,-8.084259,,,249.999802,-135.000076,479.999908,134.999985,89.999962,134.999985,250.000198,-135.000122,479.999939,90.000000,89.945618,89.999969,0.070108,-0.040507,-0.089882,1.915741,0.020598,-0.013733,
feedback,0.143365,1786413943231,7,Rz,10.000000,30.000000,2.259064,-7.740936,,,249.999802,-135.000076,479.999908,134.999985,89.999962,134.999985,249.999863,-135.000046,479.999908,90.022003,89.928482,90.021973,-0.103188,-0.040507,-0.040264,2.259064,-0.000001,-0.013734,
feedback,0.151567,1786413943240,7,Rz,10.000000,30.000000,2.877045,-7.122955,,,249.999802,-135.000076,479.999908,134.999985,89.999962,134.999985,249.999908,-135.000000,480.000153,89.983131,89.906700,89.983185,-0.114687,0.021092,0.159389,2.877045,-0.027463,0.013734,
feedback,0.161107,1786413943248,7,Rz,10.000000,30.000000,3.481293,-6.518707,,,249.999802,-135.000076,479.999908,134.999985,89.999962,134.999985,249.999802,-135.000031,480.000092,89.973763,89.880028,89.973793,-0.030921,-0.051053,0.000960,3.481293,-0.013731,-0.020596,
feedback,0.167725,1786413943256,7,Rz,10.000000,30.000000,4.133606,-5.866394,,,249.999802,-135.000076,479.999908,134.999985,89.999962,134.999985,249.999924,-134.999878,480.000458,89.968857,89.848419,89.968941,-0.012222,0.051053,0.120560,4.133606,-0.027460,0.020605,
feedback,0.176683,1786413943265,7,Rz,10.000000,30.000000,4.882050,-5.117950,,,249.999802,-135.000076,479.999908,134.999985,89.999962,134.999985,249.999634,-134.999908,480.000488,89.983391,89.810539,89.983498,-0.114687,0.052731,0.108336,4.882050,-0.006857,0.034337,
feedback,0.184500,1786413943273,7,Rz,10.000000,30.000000,5.397034,-4.602966,,,249.999802,-135.000076,479.999908,134.999985,89.999962,134.999985,250.000214,-134.999908,479.999908,90.006798,89.768547,90.006851,0.016179,0.029961,0.000000,5.397034,0.000005,0.006864,
feedback,0.192873,1786413943281,7,Rz,10.000000,30.000000,5.657959,-4.342041,,,249.999802,-135.000076,479.999908,134.999985,89.999962,134.999985,249.999878,-134.999680,480.000549,89.982925,89.723473,89.983040,-0.024444,0.038829,0.190066,5.657959,-0.034321,0.000008,
feedback,0.200342,1786413943290,7,Rz,10.000000,30.000000,6.193542,-3.806458,,,249.999802,-135.000076,479.999908,134.999985,89.999962,134.999985,249.999924,-135.000046,480.000305,89.985443,89.675682,89.985413,0.132664,0.049375,-0.118882,6.193542,0.013730,0.006875,
feedback,0.209746,1786413943298,7,Rz,10.000000,30.000000,7.326508,-2.673492,,,249.999802,-135.000076,479.999908,134.999985,89.999962,134.999985,249.999802,-135.000031,480.000275,89.992287,89.591827,89.992317,-0.014381,-0.010546,-0.010546,7.326508,0.006870,-0.006859,
feedback,0.216979,1786413943307,7,Rz,10.000000,30.000000,8.177948,-1.822052,,,249.999802,-135.000076,479.999908,134.999985,89.999962,134.999985,250.000031,-134.999878,480.000183,89.993332,89.528107,89.993416,-0.099231,0.019414,0.080296,8.177948,-0.027454,0.000008,
feedback,0.225657,1786413943315,7,Rz,10.000000,30.000000,8.727264,-1.272736,,,249.999802,-135.000076,479.999908,134.999985,89.999962,134.999985,249.999985,-134.999802,480.000092,90.000000,89.459061,90.000084,0.088084,0.029961,-0.100428,8.727264,0.027478,0.006866,
feedback,0.233137,1786413943319,7,Rz,10.000000,30.000000,8.383942,-1.616058,,,249.999802,-135.000076,479.999908,134.999985,89.999962,134.999985,249.999466,-134.999832,480.000214,89.992241,89.391411,89.992294,-0.115771,-0.021092,-0.061356,8.383942,0.013741,-0.013721,
feedback,0.242417,1786413943328,7,Rz,10.000000,30.000000,8.363342,-1.636658,,,249.999802,-135.000076,479.999908,134.999985,89.999962,134.999985,249.999878,-134.999756,480.000793,89.982841,89.357956,89.982956,0.101751,0.021092,0.141409,8.363342,-0.027450,0.013761,
feedback,0.249547,1786413943336,7,Rz,10.000000,30.000000,8.486938,-1.513062,,,249.999802,-135.000076,479.999908,134.999985,89.999962,134.999985,249.999390,-135.000076,480.000580,89.991127,89.290253,89.991135,-0.073703,-0.019414,0.059921,8.486938,-0.013733,0.000016,
feedback,0.259458,1786413943344,7,Rz,10.000000,30.000000,8.589935,-1.410065,,,249.999802,-135.000076,479.999908,134.999985,89.999962,134.999985,249.999466,-134.999832,480.000214,89.993935,89.222000,89.993988,-0.198463,0.070467,0.058486,8.589935,-0.013725,0.020612,
feedback,0.265785,1786413943353,7,Rz,10.000000,30.000000,8.679199,-1.320801,,,249.999802,-135.000076,479.999908,134.999985,89.999962,134.999985,249.999924,-134.999908,480.000305,89.994431,89.152596,89.994484,0.041707,-0.019414,0.030678,8.679199,-0.006858,0.000012,
