event,pc_time_s,controller_timestamp,robot_mode,axis,target_speed_deg_s,target_delta_deg,selected_actual_deg_s,speed_error_deg_s,command_interval_ms,command_latency_ms,target_x,target_y,target_z,target_rx,target_ry,target_rz,actual_x,actual_y,actual_z,actual_rx,actual_ry,actual_rz,tcp_vx,tcp_vy,tcp_vz,tcp_wx,tcp_wy,tcp_wz,response
feedback,0.009382,1786439769448,5,Rx,0.000000,0.000000,0.014675,0.014675,,,435.911346,-66.844383,179.612320,-164.999054,79.999840,-89.998909,435.911102,-66.844963,179.611954,-164.999619,79.999893,-89.999550,-0.012449,-0.105457,-0.014401,-0.001809,-0.006624,-0.013733,
feedback,0.014891,1786439769456,7,Rx,0.000000,0.000000,0.011013,0.011013,,,435.911346,-66.844383,179.612320,-164.999054,79.999840,-89.998909,435.911407,-66.844620,179.612488,-164.999054,79.999840,-89.998940,0.040297,-0.069348,0.080511,-0.013858,-0.024687,-0.006830,
command,0.000012,,,Rx,5.000000,75.000000,,,,12.668,435.911346,-66.844383,179.612320,-164.999054,79.999840,-89.998909,,,,,,,,,,,,,"0,{1464},RelMovLTool(0.000000,0.000000,0.000000,75.000000,0.000000,0.000000,a=30,v=56,cp=0);"
feedback,0.022972,1786439769465,7,Rx,5.000000,75.000000,-0.005962,-5.005962,,,435.911346,-66.844383,179.612320,-164.999054,79.999840,-89.998909,435.911194,-66.844597,179.611832,-164.999146,79.999786,-89.999008,0.010475,0.047650,-0.036612,-0.013764,-0.024411,0.010358,
feedback,0.031203,1786439769473,7,Rx,5.000000,75.000000,-0.015825,-5.015825,,,435.911346,-66.844383,179.612320,-164.999054,79.999840,-89.998909,435.911163,-66.844780,179.611710,-164.999557,79.999832,-89.999451,0.002059,0.108294,-0.105012,0.005394,0.019780,0.012581,
feedback,0.040024,1786439769482,7,Rx,5.000000,75.000000,0.013773,-4.986227,,,435.911346,-66.844383,179.612320,-164.999054,79.999840,-89.998909,435.911133,-66.844948,179.612045,-164.999725,79.999924,-89.999664,0.009740,-0.095845,0.062850,0.028304,-0.000611,-0.013878,
feedback,0.047678,1786439769490,7,Rx,5.000000,75.000000,-0.007462,-5.007462,,,435.911346,-66.844383,179.612320,-164.999054,79.999840,-89.998909,435.911163,-66.844803,179.611832,-164.998688,79.999763,-89.998581,0.005794,0.045011,-0.044422,-0.018579,-0.015978,0.010394,
feedback,0.055866,1786439769498,7,Rx,5.000000,75.000000,-0.021786,-5.021786,,,435.911346,-66.844383,179.612320,-164.999054,79.999840,-89.998909,435.911377,-66.844429,179.612152,-164.998688,79.999763,-89.998528,0.044251,0.147284,-0.048204,-0.006592,0.001901,0.021787,
feedback,0.064142,1786439769507,7,Rx,5.000000,75.000000,0.006030,-4.993970,,,435.911346,-66.844383,179.612320,-164.999054,79.999840,-89.998909,435.911499,-66.844627,179.611603,-164.997620,79.999794,-89.997559,0.108472,0.079238,-0.151395,-0.014752,-0.053822,0.003367,
feedback,0.075348,1786439769515,7,Rx,5.000000,75.000000,0.139879,-4.860121,,,435.911346,-66.844383,179.612320,-164.999054,79.999840,-89.998909,435.913025,-66.845680,179.606995,-164.988647,79.999397,-89.989319,0.294404,-0.072551,-0.746212,-0.052755,-0.243392,-0.099120,
feedback,0.080310,1786439769519,7,Rx,5.000000,75.000000,0.442957,-4.557043,,,435.911346,-66.844383,179.612320,-164.999054,79.999840,-89.998909,435.917847,-66.847435,179.597504,-164.976257,79.998795,-89.979561,0.674821,-0.460320,-1.274259,-0.081679,-0.266209,-0.402852,
feedback,0.088369,1786439769528,7,Rx,5.000000,75.000000,0.517838,-4.482162,,,435.911346,-66.844383,179.612320,-164.999054,79.999840,-89.998909,435.920929,-66.847420,179.592529,-164.970917,79.998505,-89.976250,0.773188,0.002683,-1.242415,-0.072790,-0.231417,-0.485023,
feedback,0.096621,1786439769536,7,Rx,5.000000,75.000000,0.770090,-4.229910,,,435.911346,-66.844383,179.612320,-164.999054,79.999840,-89.998909,435.924347,-66.848572,179.576401,-164.972214,79.998543,-89.983330,0.289377,-0.191790,-2.180387,0.021545,0.117220,-0.802644,
