event,pc_time_s,controller_timestamp,robot_mode,segment,planned_rx_deg_s,planned_ry_deg_s,planned_rz_deg_s,cp,actual_wx_deg_s,actual_wy_deg_s,actual_wz_deg_s,latency_ms,response
feedback,0.011811,1786508104108,5,0,0.0,0.0,0.0,,0.016534904018044472,-0.025707820430397987,0.01373289804905653,,
feedback,0.016021,1786508104117,5,0,0.0,0.0,0.0,,0.014117819257080555,-0.019280852749943733,0.006866436451673508,,
feedback,0.020571,1786508104125,5,0,0.0,0.0,0.0,,0.00686641177162528,-1.2926093084786316e-08,-0.02059938758611679,,
command,0.012175,,,1,5.0,0.0,0.0,100,,,,11.938,"0,{121},RelMovLTool(0.000000,0.000000,0.000000,23.000000,0.000000,0.000000,a=30,v=23,cp=100);"
feedback,0.028971,1786508104134,7,1,5.0,0.0,0.0,,0.009668448939919472,-0.025707827880978584,0.020599365234375,,
feedback,0.038202,1786508104144,7,1,5.0,0.0,0.0,,-0.01895194500684738,0.03213480859994888,-0.02059934101998806,,
feedback,0.045576,1786508104152,7,1,5.0,0.0,0.0,,-0.01818232424557209,-0.006426973734050989,-0.02746577374637127,,
command,0.035446,,,2,4.166666666666667,0.8333333333333334,0.0,100,,,,6.948,"0,{122},RelMovLTool(0.000000,0.000000,0.000000,0.555556,0.111111,0.000000,a=30,v=19,cp=100);"
feedback,0.054040,1786508104160,7,2,4.166666666666667,0.8333333333333334,0.0,,0.013732879422605038,1.576712982398476e-09,-0.006866485811769962,,
command,0.047797,,,3,3.333333333333333,1.6666666666666667,0.0,100,,,,5.495,"0,{123},RelMovLTool(0.000000,0.000000,0.000000,0.444444,0.222222,0.000000,a=30,v=15,cp=100);"
feedback,0.062775,1786508104165,7,3,3.333333333333333,1.6666666666666667,0.0,,-0.006866439711302519,2.5045192586503617e-09,-0.006866439711302519,,
feedback,0.070374,1786508104173,7,3,3.333333333333333,1.6666666666666667,0.0,,-0.0007697604596614838,0.03856174275279045,-0.013732978142797947,,
command,0.064627,,,4,2.5,2.5,0.0,100,,,,9.424,"0,{124},RelMovLTool(0.000000,0.000000,0.000000,0.333333,0.333333,0.000000,a=30,v=11,cp=100);"
