event,pc_time_s,controller_timestamp,robot_mode,axis,target_speed_deg_s,target_delta_deg,selected_actual_deg_s,speed_error_deg_s,command_interval_ms,command_latency_ms,target_x,target_y,target_z,target_rx,target_ry,target_rz,actual_x,actual_y,actual_z,actual_rx,actual_ry,actual_rz,tcp_vx,tcp_vy,tcp_vz,tcp_wx,tcp_wy,tcp_wz,response
feedback,0.010432,1786441790385,5,Ry,0.000000,0.000000,-0.018087,-0.018087,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.911346,-66.844597,179.612198,177.319656,34.460098,177.319901,0.096518,-0.086370,0.060015,0.011353,-0.018055,-0.007228,
feedback,0.015154,1786441790394,5,Ry,0.000000,0.000000,0.017893,0.017893,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.910767,-66.845421,179.611954,177.319687,34.460026,177.319794,-0.147906,-0.204857,-0.061753,-0.005787,0.019190,-0.030113,
command,0.000014,,,Ry,5.000000,25.000000,,,,12.929,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,,,,,,,,,,,,,"0,{1525},RelMovLTool(0.000000,0.000000,0.000000,0.000000,25.000000,0.000000,a=30,v=25,cp=0);"
feedback,0.023390,1786441790402,7,Ry,5.000000,25.000000,0.006429,-4.993571,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.910858,-66.845192,179.611755,177.319656,34.460022,177.319763,-0.058558,-0.062541,-0.031392,-0.001371,0.006728,-0.006866,
feedback,0.031836,1786441790411,7,Ry,5.000000,25.000000,0.015842,-4.984158,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.911133,-66.843948,179.612061,177.319565,34.460037,177.319855,-0.072373,0.210577,-0.064524,-0.001068,0.014451,0.036979,
feedback,0.039786,1786441790419,7,Ry,5.000000,25.000000,0.021212,-4.978788,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.910828,-66.844818,179.612137,177.319519,34.460033,177.319656,-0.138527,-0.055944,-0.065231,0.009236,0.021597,-0.014319,
feedback,0.048492,1786441790427,7,Ry,5.000000,25.000000,-0.013653,-5.013653,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.911163,-66.844345,179.612076,177.319626,34.460068,177.319901,0.136539,-0.022784,0.044588,-0.012825,-0.014013,0.015755,
feedback,0.056250,1786441790436,7,Ry,5.000000,25.000000,-0.003039,-5.003039,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.911072,-66.844582,179.612183,177.319504,34.460022,177.319717,-0.018896,-0.036388,0.044372,0.014176,-0.003465,0.003497,
feedback,0.064119,1786441790444,7,Ry,5.000000,25.000000,0.012008,-4.987992,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.910736,-66.844650,179.611725,177.319519,34.459969,177.319733,-0.047399,0.031305,-0.007663,0.024784,0.011404,0.002910,
feedback,0.072524,1786441790453,7,Ry,5.000000,25.000000,0.062241,-4.937759,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.910431,-66.844917,179.611801,177.319550,34.459755,177.319672,-0.135211,-0.133591,-0.064433,0.002684,0.062961,-0.018539,
feedback,0.080551,1786441790461,7,Ry,5.000000,25.000000,0.137519,-4.862481,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.909698,-66.844185,179.612930,177.319687,34.458992,177.319885,-0.136620,-0.124235,0.143129,-0.043816,0.138884,-0.008927,
feedback,0.088738,1786441790469,7,Ry,5.000000,25.000000,0.314103,-4.685897,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.908661,-66.844109,179.618027,177.319977,34.456928,177.320129,-0.222697,-0.082739,0.800907,-0.035239,0.315167,-0.001311,
feedback,0.097051,1786441790478,7,Ry,5.000000,25.000000,0.587249,-4.412751,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.906586,-66.845398,179.627960,177.320816,34.452682,177.320557,-0.187993,-0.264846,1.472126,-0.066137,0.589827,-0.017569,
feedback,0.105065,1786441790486,7,Ry,5.000000,25.000000,0.851473,-4.148527,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.903717,-66.847969,179.641022,177.321655,34.446533,177.320892,-0.405897,-0.315275,1.604482,-0.048374,0.853379,-0.002980,
feedback,0.113246,1786441790495,7,Ry,5.000000,25.000000,1.193241,-3.806759,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.899719,-66.849915,179.660645,177.323410,34.433395,177.322174,-0.286998,-0.342854,1.667815,-0.069816,1.194988,0.020831,
feedback,0.121887,1786441790503,7,Ry,5.000000,25.000000,1.287345,-3.712655,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.899170,-66.851883,179.673569,177.323975,34.423180,177.322403,-0.034675,-0.279409,1.647919,0.019807,1.287710,0.011775,
feedback,0.130056,1786441790511,7,Ry,5.000000,25.000000,1.280070,-3.719930,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.900330,-66.851692,179.686890,177.324509,34.412842,177.323227,0.291393,-0.020213,1.693245,0.021565,1.277962,0.074825,
feedback,0.137768,1786441790520,7,Ry,5.000000,25.000000,1.421783,-3.578217,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.901215,-66.852013,179.698090,177.324844,34.401924,177.323608,-0.043052,-0.116058,1.378985,0.025637,1.421372,0.032144,
feedback,0.145935,1786441790528,7,Ry,5.000000,25.000000,1.779665,-3.220335,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.899200,-66.851547,179.707031,177.325348,34.388615,177.324509,-0.417888,0.031722,0.985630,0.022690,1.778140,0.071420,
feedback,0.154275,1786441790532,7,Ry,5.000000,25.000000,2.003706,-2.996294,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.896606,-66.852142,179.712204,177.325989,34.380623,177.325302,-0.651057,-0.149495,1.292159,-0.040701,2.002333,0.106401,
feedback,0.162266,1786441790541,7,Ry,5.000000,25.000000,2.462439,-2.537561,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.892609,-66.853638,179.721191,177.326920,34.362003,177.326538,-0.718790,-0.284964,1.126563,-0.000389,2.462088,0.069905,
feedback,0.170608,1786441790549,7,Ry,5.000000,25.000000,2.893877,-2.106123,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.887390,-66.857094,179.730957,177.328232,34.339790,177.327988,-0.744969,-0.513167,1.271141,0.002837,2.893409,0.081852,
feedback,0.178844,1786441790558,7,Ry,5.000000,25.000000,3.344676,-1.655324,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.885712,-66.858925,179.739548,177.329315,34.314083,177.329498,-0.175201,0.032940,1.095852,0.053426,3.341864,0.127126,
feedback,0.186958,1786441790566,7,Ry,5.000000,25.000000,3.688848,-1.311152,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.888367,-66.860382,179.748199,177.330414,34.285183,177.330963,0.530135,-0.097178,1.247023,0.078676,3.685881,0.126290,
feedback,0.195081,1786441790575,7,Ry,5.000000,25.000000,3.961299,-1.038701,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.898224,-66.865486,179.759720,177.332108,34.237724,177.332764,1.417716,-0.257998,0.781627,0.056656,3.960924,0.077349,
feedback,0.203108,1786441790583,7,Ry,5.000000,25.000000,4.035763,-0.964237,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.909607,-66.864410,179.764481,177.332809,34.205826,177.334259,1.179184,0.330674,0.431866,0.153782,4.029636,0.177191,
feedback,0.211573,1786441790591,7,Ry,5.000000,25.000000,4.294934,-0.705066,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.914886,-66.862366,179.761383,177.333527,34.172142,177.335922,0.478485,0.358066,-0.612572,0.138594,4.289504,0.173495,
feedback,0.219466,1786441790600,7,Ry,5.000000,25.000000,4.515063,-0.484937,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.915375,-66.860420,179.755035,177.334778,34.136604,177.338074,-0.160517,0.306567,-0.873533,0.080901,4.510221,0.194156,
feedback,0.227910,1786441790608,7,Ry,5.000000,25.000000,4.821040,-0.178960,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.913483,-66.860046,179.751953,177.335907,34.098770,177.340164,-0.306620,0.127380,-0.245072,0.139980,4.815757,0.181909,
feedback,0.235743,1786441790616,7,Ry,5.000000,25.000000,4.955897,-0.044103,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.915863,-66.859772,179.753754,177.337341,34.059608,177.342331,0.317656,0.239492,0.194406,0.136931,4.950087,0.200541,
feedback,0.244071,1786441790625,7,Ry,5.000000,25.000000,5.417780,0.417780,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.912994,-66.861221,179.752243,177.338959,34.017288,177.344559,-0.705399,-0.184993,-0.397584,0.074864,5.414452,0.180245,
feedback,0.252596,1786441790633,7,Ry,5.000000,25.000000,5.963128,0.963128,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.898956,-66.867821,179.744171,177.341858,33.971539,177.347229,-2.768399,-1.145267,-1.466105,-0.086164,5.965751,0.124303,
feedback,0.260634,1786441790642,7,Ry,5.000000,25.000000,5.988993,0.988993,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.882935,-66.876022,179.734482,177.344620,33.923882,177.349548,-1.755126,-1.014331,-1.259575,-0.012410,5.991389,0.091808,
feedback,0.268740,1786441790650,7,Ry,5.000000,25.000000,5.887626,0.887626,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.875122,-66.883522,179.729797,177.346954,33.877155,177.351532,-1.402216,-1.081272,-0.958533,0.031035,5.889228,0.086932,
feedback,0.277155,1786441790659,7,Ry,5.000000,25.000000,5.743384,0.743384,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.857544,-66.892357,179.724777,177.350281,33.807579,177.355057,-1.336085,-0.510831,-0.062627,0.051409,5.740925,0.178137,
feedback,0.285344,1786441790667,7,Ry,5.000000,25.000000,5.529607,0.529607,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.853302,-66.892677,179.722061,177.351639,33.762753,177.357391,0.004621,0.449660,-0.345188,0.155242,5.521712,0.259109,
feedback,0.293419,1786441790675,7,Ry,5.000000,25.000000,5.448621,0.448621,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.858978,-66.892433,179.725067,177.352844,33.718746,177.359634,0.996242,0.204076,0.262436,0.126029,5.442396,0.229200,
feedback,0.302677,1786441790684,7,Ry,5.000000,25.000000,5.491152,0.491152,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.859833,-66.892090,179.719147,177.353821,33.674515,177.361725,0.104339,-0.031741,-0.994402,0.160811,5.486284,0.176463,
feedback,0.310390,1786441790692,7,Ry,5.000000,25.000000,5.411414,0.411414,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.863464,-66.889870,179.712051,177.354523,33.630150,177.363861,1.164869,0.283498,-0.634469,0.170665,5.405339,0.200681,
feedback,0.318389,1786441790700,7,Ry,5.000000,25.000000,4.950761,-0.049239,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.886139,-66.881950,179.716248,177.353882,33.589714,177.365555,3.186568,1.071848,0.785818,0.332046,4.939181,0.246744,
feedback,0.327159,1786441790705,7,Ry,5.000000,25.000000,5.283123,0.283123,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.900269,-66.871048,179.720642,177.351791,33.548084,177.367401,1.288367,1.370315,0.266632,0.431977,5.264152,0.393889,
feedback,0.334512,1786441790713,7,Ry,5.000000,25.000000,5.409943,0.409943,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.902649,-66.867455,179.720108,177.351028,33.526459,177.368408,0.592735,0.898416,-0.129727,0.408655,5.393075,0.354778,
feedback,0.342927,1786441790721,7,Ry,5.000000,25.000000,5.295558,0.295558,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.916046,-66.857582,179.722397,177.349579,33.483894,177.370407,1.850944,1.153036,0.470270,0.372131,5.279860,0.340948,
feedback,0.351094,1786441790730,7,Ry,5.000000,25.000000,5.408948,0.408948,,,435.910980,-66.845177,179.611877,177.319656,34.460022,177.319763,435.929749,-66.849770,179.728668,177.349014,33.440899,177.372757,1.495597,0.852080,0.856792,0.272311,5.395775,0.330957,
