event,pc_time_s,controller_timestamp,robot_mode,axis,target_speed_deg_s,target_delta_deg,selected_actual_deg_s,speed_error_deg_s,command_interval_ms,command_latency_ms,target_x,target_y,target_z,target_rx,target_ry,target_rz,actual_x,actual_y,actual_z,actual_rx,actual_ry,actual_rz,tcp_vx,tcp_vy,tcp_vz,tcp_wx,tcp_wy,tcp_wz,response
feedback,0.004627,1786343920852,5,Ry,0.000000,0.000000,-0.000000,-0.000000,,,359.999725,-135.000137,479.999725,179.999969,-0.000055,179.999939,359.999695,-135.000305,480.000122,-179.999924,0.000000,179.999939,-0.008617,-0.043143,0.038818,0.000000,0.000000,-0.000000,
feedback,0.009763,1786343920861,7,Ry,0.000000,0.000000,0.027466,0.027466,,,359.999725,-135.000137,479.999725,179.999969,-0.000055,179.999939,359.999817,-134.999832,480.000122,-180.000000,-0.000000,179.999969,0.041741,0.053689,0.202741,0.006866,-0.027466,-0.006866,
command,0.000002,,,Ry,0.000018,0.000000,,,,9.126,359.999725,-135.000137,479.999725,179.999969,-0.000055,179.999939,,,,,,,,,,,,,"0,{532},ServoP(359.999725,-135.000137,479.999725,179.999969,-0.000055,179.999939,t=0.020000);"
feedback,0.017978,1786343920869,7,Ry,0.000018,0.000000,0.013733,0.013715,,,359.999725,-135.000137,479.999725,179.999969,-0.000055,179.999939,359.999878,-135.000046,480.000366,-179.999969,0.000055,179.999969,0.059957,0.022051,0.145217,-0.013733,-0.013733,0.006866,
feedback,0.026547,1786343920878,7,Ry,0.000018,0.000000,-0.034332,-0.034350,,,359.999725,-135.000137,479.999725,179.999969,-0.000055,179.999939,359.999756,-134.999954,479.999573,179.999969,-0.000055,179.999939,-0.003751,0.086286,-0.217122,0.000000,0.034332,0.013733,
command,0.019317,,,Ry,0.193173,0.001866,,,19.370,6.098,359.999725,-135.000137,479.999725,179.999969,0.001811,179.999939,,,,,,,,,,,,,"0,{533},ServoP(359.999725,-135.000137,479.999725,179.999969,0.001811,179.999939,t=0.020000);"
feedback,0.034441,1786343920886,7,Ry,0.193173,0.001866,0.000000,-0.193173,,,359.999725,-135.000137,479.999725,179.999969,0.001811,179.999939,359.999542,-135.000092,480.000122,179.999939,0.000027,179.999924,-0.055487,-0.032597,0.028762,0.006866,-0.000000,0.000000,
feedback,0.043215,1786343920895,7,Ry,0.193173,0.001866,-0.000000,-0.193173,,,359.999725,-135.000137,479.999725,179.999969,0.001811,179.999939,359.999786,-134.999786,479.999939,179.999969,-0.000000,-180.000000,-0.039308,0.042184,0.028762,0.027466,0.000000,-0.000000,
command,0.038681,,,Ry,0.386805,0.007481,,,19.322,6.198,359.999725,-135.000137,479.999725,179.999969,0.007426,179.999939,,,,,,,,,,,,,"0,{534},ServoP(359.999725,-135.000137,479.999725,179.999969,0.007426,179.999939,t=0.020000);"
feedback,0.051370,1786343920899,7,Ry,0.386805,0.007481,-0.006866,-0.393671,,,359.999725,-135.000137,479.999725,179.999969,0.007426,179.999939,359.999695,-135.000427,479.999786,-179.999939,-0.000027,179.999939,-0.019774,-0.161068,-0.043143,-0.020599,0.006866,-0.013733,
feedback,0.061026,1786343920907,7,Ry,0.386805,0.007481,-0.041199,-0.428004,,,359.999725,-135.000137,479.999725,179.999969,0.007426,179.999939,359.999756,-135.000000,479.999573,-180.000000,-0.000055,180.000000,-0.021859,0.096832,-0.270321,0.006866,0.041199,0.020599,
