event,pc_time_s,controller_timestamp,robot_mode,segment,planned_rx_deg_s,planned_ry_deg_s,planned_rz_deg_s,cp,actual_wx_deg_s,actual_wy_deg_s,actual_wz_deg_s,latency_ms,response
feedback,0.010584,1786508788319,5,0,0.0,0.0,0.0,,0.0024171029217541218,-0.006426960229873657,-0.01373291015625,,
feedback,0.014340,1786508788327,5,0,0.0,0.0,0.0,,0.004449358209967613,0.006426985841244459,0.020599359646439552,,
command,0.013337,,,1,10.0,0.0,-10.0,100,,,,13.232,"0,{398},RelMovLTool(0.000000,0.000000,0.000000,44.000000,0.000000,-44.000000,a=30,v=45,cp=100);"
feedback,0.022402,1786508788336,7,1,10.0,0.0,-10.0,,-0.0003848540363833308,0.019280901178717613,0.013732900843024254,,
feedback,0.030091,1786508788344,7,1,10.0,0.0,-10.0,,0.016150029376149178,-0.006426928099244833,-1.2325330978057991e-08,,
command,0.033386,,,2,9.0,1.0,-10.0,100,,,,7.548,"0,{399},RelMovLTool(0.000000,0.000000,0.000000,1.080000,0.120000,-1.200000,a=30,v=45,cp=100);"
feedback,0.039852,1786508788353,7,2,9.0,1.0,-10.0,,0.0020322336349636316,0.01285393163561821,-3.0799982564388984e-09,,
feedback,0.046339,1786508788361,7,2,9.0,1.0,-10.0,,0.006866455078125,1.974406771410031e-08,-6.161775534252456e-09,,
feedback,0.054342,1786508788370,7,2,9.0,1.0,-10.0,,-0.014117761515080929,0.019280869513750076,0.00686646718531847,,
command,0.056867,,,3,8.0,2.0,-10.0,100,,,,7.989,"0,{400},RelMovLTool(0.000000,0.000000,0.000000,0.960000,0.240000,-1.200000,a=30,v=45,cp=100);"
feedback,0.063411,1786508788378,7,3,8.0,2.0,-10.0,,-0.014502637088298798,0.038561753928661346,0.006866455078125,,
feedback,0.070786,1786508788382,7,3,8.0,2.0,-10.0,,-0.0044493768364191055,-0.006426979321986437,-0.013732894323766232,,
command,0.069718,,,4,7.0,3.0,-10.0,100,,,,6.902,"0,{401},RelMovLTool(0.000000,0.000000,0.000000,0.840000,0.360000,-1.200000,a=30,v=45,cp=100);"
feedback,0.080013,1786508788391,7,4,7.0,3.0,-10.0,,-0.04960503429174423,0.07712338864803314,-0.02746562659740448,,
feedback,0.087159,1786508788400,7,4,7.0,3.0,-10.0,,-0.0955333560705185,0.19923463463783264,-0.10299620777368546,,
command,0.085554,,,5,6.0,4.0,-10.0,100,,,,6.899,"0,{402},RelMovLTool(0.000000,0.000000,0.000000,0.720000,0.480000,-1.200000,a=30,v=45,cp=100);"
feedback,0.096222,1786508788408,7,5,6.0,4.0,-10.0,,-0.19960370659828186,0.3663281500339508,-0.31585222482681274,,
feedback,0.103710,1786508788417,7,5,6.0,4.0,-10.0,,-0.3605731129646301,0.629818320274353,-0.5424304008483887,,
command,0.101077,,,6,5.0,5.0,-10.0,100,,,,7.245,"0,{403},RelMovLTool(0.000000,0.000000,0.000000,0.600000,0.600000,-1.200000,a=30,v=45,cp=100);"
feedback,0.111678,1786508788425,7,6,5.0,5.0,-10.0,,-0.5693343877792358,0.7647950053215027,-0.5286432504653931,,
feedback,0.120892,1786508788433,7,6,5.0,5.0,-10.0,,-1.0681440830230713,0.9769694805145264,-0.5352669954299927,,
feedback,0.128372,1786508788442,7,6,5.0,5.0,-10.0,,-1.1223329305648804,1.156887412071228,-0.6106963157653809,,
command,0.129220,,,7,4.0,6.0,-10.0,100,,,,8.578,"0,{404},RelMovLTool(0.000000,0.000000,0.000000,0.480000,0.720000,-1.200000,a=30,v=45,cp=100);"
feedback,0.140490,1786508788450,7,7,4.0,6.0,-10.0,,-1.3224515914916992,1.3047200441360474,-0.73405921459198,,
feedback,0.144924,1786508788459,7,7,4.0,6.0,-10.0,,-1.6177911758422852,1.6325215101242065,-0.7543102502822876,,
feedback,0.152658,1786508788467,7,7,4.0,6.0,-10.0,,-2.119626045227051,2.0695550441741943,-1.0557348728179932,,
feedback,0.161077,1786508788476,7,7,4.0,6.0,-10.0,,-2.5458455085754395,2.3780951499938965,-1.2470722198486328,,
command,0.157386,,,8,3.0,7.0,-10.0,100,,,,8.557,"0,{405},RelMovLTool(0.000000,0.000000,0.000000,0.360000,0.840000,-1.200000,a=30,v=45,cp=100);"
feedback,0.169102,1786508788484,7,8,3.0,7.0,-10.0,,-3.000483274459839,2.705900192260742,-1.5204720497131348,,
feedback,0.177204,1786508788493,7,8,3.0,7.0,-10.0,,-3.23048996925354,2.8922276496887207,-1.8077044486999512,,
feedback,0.185587,1786508788497,7,8,3.0,7.0,-10.0,,-3.3744750022888184,3.0528719425201416,-1.916899561882019,,
command,0.181340,,,9,2.0,8.0,-10.0,100,,,,6.358,"0,{406},RelMovLTool(0.000000,0.000000,0.000000,0.240000,0.960000,-1.200000,a=30,v=45,cp=100);"
feedback,0.194479,1786508788506,7,9,2.0,8.0,-10.0,,-3.867398262023926,3.3680660724639893,-2.154501438140869,,
command,0.197571,,,10,1.0,9.0,-10.0,100,,,,7.431,"0,{407},RelMovLTool(0.000000,0.000000,0.000000,0.120000,1.080000,-1.200000,a=30,v=45,cp=100);"
feedback,0.202857,1786508788514,7,10,1.0,9.0,-10.0,,-4.183152198791504,3.541775703430176,-2.4750213623046875,,
feedback,0.210063,1786508788523,7,10,1.0,9.0,-10.0,,-4.498361110687256,3.786236047744751,-2.6648688316345215,,
feedback,0.218848,1786508788531,7,10,1.0,9.0,-10.0,,-5.216062545776367,4.1664581298828125,-3.0036871433258057,,
feedback,0.226528,1786508788540,7,10,1.0,9.0,-10.0,,-5.668726921081543,4.622961521148682,-3.4187471866607666,,
command,0.225824,,,11,0.0,10.0,-10.0,100,,,,7.222,"0,{408},RelMovLTool(0.000000,0.000000,0.000000,0.000000,1.200000,-1.200000,a=30,v=46,cp=100);"
feedback,0.235329,1786508788548,7,11,0.0,10.0,-10.0,,-5.924469470977783,5.015227317810059,-3.4085726737976074,,
feedback,0.242980,1786508788556,7,11,0.0,10.0,-10.0,,-5.920903205871582,5.265398979187012,-3.4475643634796143,,
command,0.241288,,,12,0.0,10.0,-10.0,0,,,,7.628,"0,{409},RelMovLTool(0.000000,0.000000,0.000000,0.000000,44.000000,-44.000000,a=30,v=46,cp=0);"
feedback,0.251099,1786508788565,7,12,0.0,10.0,-10.0,,-5.884228706359863,5.46401309967041,-3.445478677749634,,
feedback,0.259286,1786508788573,7,12,0.0,10.0,-10.0,,-5.857595443725586,5.559712886810303,-3.477402448654175,,
feedback,0.268091,1786508788582,7,12,0.0,10.0,-10.0,,-6.144223213195801,5.73403263092041,-3.464006185531616,,
feedback,0.276009,1786508788590,7,12,0.0,10.0,-10.0,,-6.315529823303223,5.964575290679932,-3.679664134979248,,
feedback,0.285121,1786508788599,7,12,0.0,10.0,-10.0,,-6.3353142738342285,6.054019927978516,-3.7245821952819824,,
feedback,0.292457,1786508788607,7,12,0.0,10.0,-10.0,,-6.227510452270508,5.899486541748047,-3.7150862216949463,,
feedback,0.300298,1786508788616,7,12,0.0,10.0,-10.0,,-6.17594575881958,5.783602237701416,-3.7806928157806396,,
feedback,0.311747,1786508788624,7,12,0.0,10.0,-10.0,,-6.490728378295898,5.754775524139404,-3.725060224533081,,
feedback,0.316973,1786508788628,7,12,0.0,10.0,-10.0,,-6.420788288116455,5.779780864715576,-3.7038917541503906,,
feedback,0.325081,1786508788637,7,12,0.0,10.0,-10.0,,-6.38738489151001,5.812550067901611,-3.522676944732666,,
feedback,0.333517,1786508788645,7,12,0.0,10.0,-10.0,,-6.424829006195068,6.164242744445801,-3.616830348968506,,
feedback,0.341064,1786508788653,7,12,0.0,10.0,-10.0,,-6.52398157119751,6.297428131103516,-3.885585069656372,,
feedback,0.350217,1786508788662,7,12,0.0,10.0,-10.0,,-6.888820648193359,6.281389236450195,-3.8960626125335693,,
feedback,0.358306,1786508788670,7,12,0.0,10.0,-10.0,,-6.999929428100586,6.332643508911133,-4.000417709350586,,
