event,pc_time_s,controller_timestamp,robot_mode,axis,target_speed_deg_s,target_delta_deg,selected_actual_deg_s,speed_error_deg_s,command_interval_ms,command_latency_ms,target_x,target_y,target_z,target_rx,target_ry,target_rz,actual_x,actual_y,actual_z,actual_rx,actual_ry,actual_rz,tcp_vx,tcp_vy,tcp_vz,tcp_wx,tcp_wy,tcp_wz,response
feedback,0.005047,1786343931836,5,Ry,0.000000,0.000000,-0.006866,-0.006866,,,359.999756,-135.000000,479.998596,179.999985,22.451111,179.999969,359.999359,-135.000473,479.998993,179.999969,22.451193,179.999924,-0.096755,-0.096832,-0.065793,-0.008968,0.006866,-0.010009,
command,0.000002,,,Ry,0.000017,0.000000,,,,10.072,359.999756,-135.000000,479.998596,179.999985,22.451111,179.999969,,,,,,,,,,,,,"0,{784},ServoP(359.999756,-135.000000,479.998596,179.999985,22.451111,179.999969,t=0.020000);"
feedback,0.013871,1786343931844,7,Ry,0.000017,0.000000,0.000000,-0.000017,,,359.999756,-135.000000,479.998596,179.999985,22.451111,179.999969,359.999664,-135.000305,479.999268,179.999954,22.451221,179.999908,-0.065374,-0.086286,0.025825,-0.005245,-0.000000,-0.001041,
feedback,0.022312,1786343931853,7,Ry,0.000017,0.000000,0.027466,0.027449,,,359.999756,-135.000000,479.998596,179.999985,22.451111,179.999969,359.999786,-134.999786,480.000031,179.999954,22.451330,179.999969,-0.022548,0.117925,0.221047,0.019038,-0.027466,0.021600,
command,0.019241,,,Ry,0.192410,0.001851,,,19.245,6.218,359.999756,-135.000000,479.998596,179.999985,22.452962,179.999969,,,,,,,,,,,,,"0,{785},ServoP(359.999756,-135.000000,479.998596,179.999985,22.452962,179.999969,t=0.020000);"
feedback,0.031468,1786343931861,7,Ry,0.192410,0.001851,0.006866,-0.185544,,,359.999756,-135.000000,479.998596,179.999985,22.452962,179.999969,359.999359,-135.000259,479.998627,-179.999939,22.451166,179.999969,-0.149049,-0.042184,-0.053805,-0.028006,-0.006866,-0.004143,
feedback,0.038977,1786343931869,7,Ry,0.192410,0.001851,-0.020599,-0.213009,,,359.999756,-135.000000,479.998596,179.999985,22.452962,179.999969,359.999725,-135.000092,479.999207,179.999924,22.451193,179.999908,-0.056069,0.009587,-0.126255,0.031730,0.020599,0.006245,
feedback,0.047107,1786343931878,7,Ry,0.192410,0.001851,-0.006866,-0.199276,,,359.999756,-135.000000,479.998596,179.999985,22.452962,179.999969,359.999634,-135.000092,479.998749,-179.999954,22.451138,179.999969,-0.127157,-0.095874,-0.077118,-0.031730,0.006866,-0.019978,
command,0.039399,,,Ry,0.393990,0.007761,,,20.161,6.235,359.999756,-135.000000,479.998596,179.999985,22.458872,179.999969,,,,,,,,,,,,,"0,{786},ServoP(359.999756,-135.000000,479.998596,179.999985,22.458872,179.999969,t=0.020000);"
feedback,0.055563,1786343931882,7,Ry,0.393990,0.007761,-0.027466,-0.421456,,,359.999756,-135.000000,479.998596,179.999985,22.458872,179.999969,359.999969,-135.000000,479.998932,179.999893,22.451166,179.999969,-0.011129,0.031638,-0.169398,0.016416,0.027466,0.014213,
feedback,0.063470,1786343931890,7,Ry,0.393990,0.007761,-0.000000,-0.393990,,,359.999756,-135.000000,479.998596,179.999985,22.458872,179.999969,359.999756,-135.000305,479.999023,179.999954,22.451166,179.999908,-0.049195,-0.074782,0.025825,-0.016416,0.000000,-0.021079,
command,0.059269,,,Ry,0.592691,0.017564,,,19.910,7.009,359.999756,-135.000000,479.998596,179.999985,22.468675,179.999969,,,,,,,,,,,,,"0,{787},ServoP(359.999756,-135.000000,479.998596,179.999985,22.468675,179.999969,t=0.020000);"
feedback,0.071597,1786343931899,7,Ry,0.592691,0.017564,-0.006866,-0.599557,,,359.999756,-135.000000,479.998596,179.999985,22.468675,179.999969,360.000031,-135.000168,479.999146,179.999985,22.451193,179.999939,0.138760,-0.053689,-0.046318,-0.003724,0.006866,-0.015835,
feedback,0.079410,1786343931907,7,Ry,0.592691,0.017564,-0.006866,-0.599557,,,359.999756,-135.000000,479.998596,179.999985,22.468675,179.999969,360.000092,-135.000046,479.998749,179.999878,22.451138,179.999878,0.124537,0.064235,-0.057643,0.015314,0.006866,0.005765,
feedback,0.088422,1786343931916,7,Ry,0.592691,0.017564,0.027466,-0.565225,,,359.999756,-135.000000,479.998596,179.999985,22.468675,179.999969,360.000061,-135.000046,479.999756,179.999908,22.451275,179.999939,0.024692,0.010546,0.206547,0.006346,-0.027466,0.002622,
command,0.079036,,,Ry,0.790357,0.031233,,,19.719,7.672,359.999756,-135.000000,479.998596,179.999985,22.482344,179.999969,,,,,,,,,,,,,"0,{788},ServoP(359.999756,-135.000000,479.998596,179.999985,22.482344,179.999969,t=0.020000);"
feedback,0.095632,1786343931924,7,Ry,0.790357,0.031233,-0.020599,-0.810956,,,359.999756,-135.000000,479.998596,179.999985,22.482344,179.999969,359.999664,-135.000137,479.999054,179.999954,22.451193,179.999908,-0.100034,-0.021092,-0.174729,-0.010070,0.020599,-0.011591,
feedback,0.103874,1786343931933,7,Ry,0.790357,0.031233,-0.006866,-0.797223,,,359.999756,-135.000000,479.998596,179.999985,22.482344,179.999969,359.999847,-135.000168,479.999084,179.999969,22.451193,179.999878,-0.083192,-0.096832,-0.028643,-0.001101,0.006866,-0.029047,
command,0.098934,,,Ry,0.989337,0.048939,,,19.899,7.265,359.999756,-135.000000,479.998596,179.999985,22.500050,179.999969,,,,,,,,,,,,,"0,{789},ServoP(359.999756,-135.000000,479.998596,179.999985,22.500050,179.999969,t=0.020000);"
feedback,0.112374,1786343931941,7,Ry,0.989337,0.048939,-0.013733,-1.003070,,,359.999756,-135.000000,479.998596,179.999985,22.500050,179.999969,359.999847,-135.000137,479.999023,179.999954,22.451166,179.999939,-0.101669,-0.010546,-0.057287,-0.008968,0.013733,0.003724,
feedback,0.120243,1786343931950,7,Ry,0.989337,0.048939,-0.013733,-1.003070,,,359.999756,-135.000000,479.998596,179.999985,22.500050,179.999969,359.999847,-135.000168,479.999023,179.999985,22.451166,179.999939,-0.005894,0.043143,-0.071787,-0.002622,0.013733,0.013212,
command,0.118399,,,Ry,1.183986,0.070091,,,19.464,7.155,359.999756,-135.000000,479.998596,179.999985,22.521202,179.999969,,,,,,,,,,,,,"0,{790},ServoP(359.999756,-135.000000,479.998596,179.999985,22.521202,179.999969,t=0.020000);"
feedback,0.128374,1786343931958,7,Ry,1.183986,0.070091,0.048065,-1.135921,,,359.999756,-135.000000,479.998596,179.999985,22.521202,179.999969,359.999481,-135.000046,480.000061,179.999939,22.451359,-179.999969,-0.028578,0.000000,0.310152,-0.007867,-0.048065,0.019038,
feedback,0.137046,1786343931966,7,Ry,1.183986,0.070091,-0.013733,-1.197719,,,359.999756,-135.000000,479.998596,179.999985,22.521202,179.999969,359.999878,-134.999908,479.998474,179.999908,22.451111,179.999908,0.007669,0.032597,-0.034637,-0.001101,0.013733,-0.008448,
command,0.138137,,,Ry,1.381374,0.095410,,,19.732,3.755,359.999756,-135.000000,479.998596,179.999985,22.546521,179.999969,,,,,,,,,,,,,"0,{791},ServoP(359.999756,-135.000000,479.998596,179.999985,22.546521,179.999969,t=0.020000);"
feedback,0.145030,1786343931975,7,Ry,1.381374,0.095410,0.000000,-1.381374,,,359.999756,-135.000000,479.998596,179.999985,22.546521,179.999969,359.999847,-135.000259,479.999298,179.999939,22.451221,179.999939,0.047239,-0.086286,-0.014500,-0.005245,-0.000000,-0.001041,
feedback,0.153227,1786343931983,7,Ry,1.381374,0.095410,0.020599,-1.360775,,,359.999756,-135.000000,479.998596,179.999985,22.546521,179.999969,359.999420,-135.000137,479.998993,179.999863,22.451193,179.999939,-0.053269,0.031638,0.103605,0.013793,-0.020599,0.020559,
