event,pc_time_s,controller_timestamp,robot_mode,axis,target_speed_deg_s,target_delta_deg,selected_actual_deg_s,speed_error_deg_s,command_interval_ms,command_latency_ms,target_x,target_y,target_z,target_rx,target_ry,target_rz,actual_x,actual_y,actual_z,actual_rx,actual_ry,actual_rz,tcp_vx,tcp_vy,tcp_vz,tcp_wx,tcp_wy,tcp_wz,response
feedback,0.004580,1786352436731,5,Ry,0.000000,0.000000,0.041199,0.041199,,,360.000946,-134.999100,479.998993,179.999573,-25.000187,-179.999756,360.001068,-134.999283,479.998260,179.999573,-25.000324,-179.999786,0.055557,0.043143,-0.155160,-0.000000,0.041199,0.006866,
feedback,0.012039,1786352436735,5,Ry,0.000000,0.000000,-0.027466,-0.027466,,,360.000946,-134.999100,479.998993,179.999573,-25.000187,-179.999756,360.001251,-134.999100,479.998840,179.999557,-25.000214,-179.999725,0.040911,0.043143,0.147694,0.002902,-0.027466,0.013090,
command,0.000013,,,Ry,5.000000,20.000000,,,,11.742,360.000946,-134.999100,479.998993,179.999573,-25.000187,-179.999756,,,,,,,,,,,,,"0,{1289},RelMovLTool(0.000000,0.000000,0.000000,0.000000,20.000000,0.000000,a=30,v=23,cp=100);"
feedback,0.020576,1786352436744,7,Ry,5.000000,20.000000,0.006866,-4.993134,,,360.000946,-134.999100,479.998993,179.999573,-25.000187,-179.999756,360.000580,-134.999710,479.999146,179.999634,-25.000187,-179.999878,-0.047993,-0.096833,-0.008577,-0.009125,0.006866,-0.017054,
command,0.011830,,,Ry,5.000000,25.000000,,,11.817,7.814,360.000946,-134.999100,479.998993,179.999573,-25.000187,-179.999756,,,,,,,,,,,,,"0,{1290},RelMovLTool(0.000000,0.000000,0.000000,0.000000,5.000000,0.000000,a=30,v=23,cp=0);"
feedback,0.028502,1786352436752,7,Ry,5.000000,25.000000,-0.000000,-5.000000,,,360.000946,-134.999100,479.998993,179.999573,-25.000187,-179.999756,360.001038,-134.999359,479.998688,179.999619,-25.000187,-179.999786,-0.038945,-0.096833,-0.078821,-0.012027,0.000000,-0.023277,
feedback,0.037188,1786352436761,7,Ry,5.000000,25.000000,-0.013733,-5.013733,,,360.000946,-134.999100,479.998993,179.999573,-25.000187,-179.999756,360.000671,-134.999329,479.998962,179.999588,-25.000187,-179.999756,0.022525,0.075740,0.091130,-0.003321,-0.013733,0.022858,
feedback,0.044738,1786352436769,7,Ry,5.000000,25.000000,0.000000,-5.000000,,,360.000946,-134.999100,479.998993,179.999573,-25.000187,-179.999756,360.000732,-134.999619,479.998962,179.999695,-25.000214,-179.999847,0.006588,-0.010546,0.078821,-0.009125,0.000000,-0.003321,
feedback,0.053939,1786352436778,7,Ry,5.000000,25.000000,-0.000000,-5.000000,,,360.000946,-134.999100,479.998993,179.999573,-25.000187,-179.999756,360.000916,-134.999451,479.998657,179.999573,-25.000214,-179.999847,-0.035651,-0.086287,-0.039411,-0.008706,0.000000,-0.032402,
feedback,0.061320,1786352436786,7,Ry,5.000000,25.000000,-0.034332,-5.034332,,,360.000946,-134.999100,479.998993,179.999573,-25.000187,-179.999756,360.001099,-134.999283,479.999420,179.999573,-25.000103,-179.999786,-0.020208,-0.000959,0.190838,0.021991,-0.034332,-0.024697,
feedback,0.069811,1786352436795,7,Ry,5.000000,25.000000,0.000000,-5.000000,,,360.000946,-134.999100,479.998993,179.999573,-25.000187,-179.999756,360.000854,-134.999359,479.998688,179.999603,-25.000187,-179.999756,0.057283,0.053689,-0.073977,0.003321,0.000000,-0.002259,
feedback,0.077432,1786352436803,7,Ry,5.000000,25.000000,0.061798,-4.938202,,,360.000946,-134.999100,479.998993,179.999573,-25.000187,-179.999756,360.000275,-134.999451,479.998016,179.999573,-25.000488,-179.999847,-0.125678,-0.022051,-0.269398,0.006642,0.061798,-0.025117,
feedback,0.085810,1786352436811,7,Ry,5.000000,25.000000,0.109863,-4.890137,,,360.000946,-134.999100,479.998993,179.999573,-25.000187,-179.999756,359.999390,-134.999710,479.998627,179.999725,-25.001175,-179.999786,-0.090632,-0.042184,0.074362,-0.024892,0.109863,0.011608,
feedback,0.093837,1786352436820,7,Ry,5.000000,25.000000,0.315857,-4.684143,,,360.000946,-134.999100,479.998993,179.999573,-25.000187,-179.999756,359.996552,-134.999451,480.001282,179.999649,-25.003042,-179.999725,-0.526507,-0.064235,0.408253,-0.009544,0.315857,0.005161,
feedback,0.103709,1786352436828,7,Ry,5.000000,25.000000,0.659180,-4.340820,,,360.000946,-134.999100,479.998993,179.999573,-25.000187,-179.999756,359.989441,-134.999283,480.005707,179.999557,-25.007793,-179.999756,-1.071275,-0.075738,0.747762,0.012028,0.659180,-0.004190,
feedback,0.110201,1786352436837,7,Ry,5.000000,25.000000,0.837707,-4.162293,,,360.000946,-134.999100,479.998993,179.999573,-25.000187,-179.999756,359.980011,-134.999496,480.016357,179.999588,-25.014084,-179.999817,-1.306987,-0.096828,1.441173,-0.012029,0.837708,-0.023274,
feedback,0.118772,1786352436845,7,Ry,5.000000,25.000000,1.029968,-3.970032,,,360.000946,-134.999100,479.998993,179.999573,-25.000187,-179.999756,359.969086,-134.999496,480.028656,179.999588,-25.022104,-179.999786,-1.352692,0.052731,1.550654,0.031110,1.029968,-0.014521,
feedback,0.126410,1786352436853,7,Ry,5.000000,25.000000,1.187897,-3.812103,,,360.000946,-134.999100,479.998993,179.999573,-25.000187,-179.999756,359.953156,-134.999100,480.046844,179.999588,-25.036112,-179.999817,-1.270916,0.043136,1.358344,-0.005813,1.187897,-0.005576,
feedback,0.135303,1786352436862,7,Ry,5.000000,25.000000,1.222229,-3.777771,,,360.000946,-134.999100,479.998993,179.999573,-25.000187,-179.999756,359.946167,-134.999069,480.055634,179.999542,-25.045834,-179.999756,-0.896425,-0.075728,1.093304,0.006220,1.222229,-0.016640,
feedback,0.142935,1786352436870,7,Ry,5.000000,25.000000,1.332092,-3.667908,,,360.000946,-134.999100,479.998993,179.999573,-25.000187,-179.999756,359.940125,-134.999237,480.062531,179.999542,-25.056162,-179.999786,-0.777866,0.053682,0.832979,0.003312,1.332092,-0.002262,
feedback,0.151799,1786352436874,7,Ry,5.000000,25.000000,1.462555,-3.537445,,,360.000946,-134.999100,479.998993,179.999573,-25.000187,-179.999756,359.937561,-134.999542,480.065247,179.999619,-25.062012,-179.999817,-0.634059,-0.074774,0.679554,-0.018660,1.462555,0.001859,
feedback,0.159063,1786352436883,7,Ry,5.000000,25.000000,1.970673,-3.029327,,,360.000946,-134.999100,479.998993,179.999573,-25.000187,-179.999756,359.932861,-134.999496,480.068512,179.999588,-25.076651,-179.999786,-0.513611,0.022043,0.251591,-0.009528,1.970673,0.018906,
feedback,0.168134,1786352436891,7,Ry,5.000000,25.000000,2.499390,-2.500610,,,360.000946,-134.999100,479.998993,179.999573,-25.000187,-179.999756,359.928558,-134.999283,480.070160,179.999557,-25.095684,-179.999756,-0.475091,0.096815,0.148591,0.003305,2.499390,0.004602,
feedback,0.175839,1786352436899,7,Ry,5.000000,25.000000,2.897644,-2.102356,,,360.000946,-134.999100,479.998993,179.999573,-25.000187,-179.999756,359.926727,-134.999573,480.073059,179.999649,-25.118069,-179.999817,-0.232668,-0.074773,0.440425,-0.018651,2.897644,0.001878,
