event,pc_time_s,controller_timestamp,robot_mode,segment,planned_rx_deg_s,planned_ry_deg_s,planned_rz_deg_s,cp,actual_wx_deg_s,actual_wy_deg_s,actual_wz_deg_s,latency_ms,response
feedback,0.010763,1786508723747,5,0,0.0,0.0,0.0,,0.02301647514104843,-0.006426997482776642,-0.013732919469475746,,
feedback,0.012672,1786508723756,5,0,0.0,0.0,0.0,,0.007251327391713858,-0.019280873239040375,0.0274658203125,,
feedback,0.017813,1786508723764,5,0,0.0,0.0,0.0,,-0.011700686067342758,0.012853921391069889,-0.020599352195858955,,
command,0.010687,,,1,10.0,0.0,10.0,100,,,,10.566,"0,{371},RelMovLTool(0.000000,0.000000,0.000000,44.000000,0.000000,44.000000,a=30,v=45,cp=100);"
feedback,0.026494,1786508723772,7,1,10.0,0.0,10.0,,-0.002032230608165264,-0.01285390742123127,0.020599365234375,,
feedback,0.034745,1786508723781,7,1,10.0,0.0,10.0,,0.011700679548084736,-0.012853920459747314,0.013732907362282276,,
command,0.032480,,,2,9.0,1.0,10.0,100,,,,8.857,"0,{372},RelMovLTool(0.000000,0.000000,0.000000,1.080000,0.120000,1.200000,a=30,v=45,cp=100);"
feedback,0.043279,1786508723790,7,2,9.0,1.0,10.0,,0.014117773622274399,-0.01928088627755642,-0.013732907362282276,,
feedback,0.050529,1786508723798,7,2,9.0,1.0,10.0,,-0.00038485712138935924,0.019280876964330673,0.006866439711302519,,
feedback,0.058952,1786508723806,7,2,9.0,1.0,10.0,,-0.011315803974866867,-0.006426939275115728,0.006866449024528265,,
command,0.055383,,,3,8.0,2.0,10.0,100,,,,5.365,"0,{373},RelMovLTool(0.000000,0.000000,0.000000,0.960000,0.240000,1.200000,a=30,v=45,cp=100);"
feedback,0.068610,1786508723815,7,3,8.0,2.0,10.0,,-0.016534928232431412,0.025707833468914032,-0.020599355921149254,,
feedback,0.075754,1786508723823,7,3,8.0,2.0,10.0,,-0.005219041835516691,0.032134804874658585,0.006866430398076773,,
command,0.070876,,,4,7.0,3.0,10.0,100,,,,5.793,"0,{374},RelMovLTool(0.000000,0.000000,0.000000,0.840000,0.360000,1.200000,a=30,v=45,cp=100);"
feedback,0.084282,1786508723827,7,4,7.0,3.0,10.0,,0.024278990924358368,0.044988736510276794,0.013732632622122765,,
feedback,0.091874,1786508723836,7,4,7.0,3.0,10.0,,0.023232970386743546,0.2120898962020874,0.01372967567294836,,
command,0.084150,,,5,6.0,4.0,10.0,100,,,,8.089,"0,{375},RelMovLTool(0.000000,0.000000,0.000000,0.720000,0.480000,1.200000,a=30,v=45,cp=100);"
feedback,0.100728,1786508723844,7,5,6.0,4.0,10.0,,0.021032223477959633,0.43703383207321167,0.006850899662822485,,
feedback,0.108125,1786508723853,7,5,6.0,4.0,10.0,,0.22125506401062012,0.7262514233589172,0.027378199622035027,,
command,0.098844,,,6,5.0,5.0,10.0,100,,,,7.208,"0,{376},RelMovLTool(0.000000,0.000000,0.000000,0.600000,0.600000,1.200000,a=30,v=45,cp=100);"
feedback,0.116303,1786508723861,7,6,5.0,5.0,10.0,,0.7336972951889038,0.9705139994621277,0.08887398988008499,,
feedback,0.124572,1786508723870,7,6,5.0,5.0,10.0,,1.1042540073394775,1.0991052389144897,0.13656239211559296,,
