event,pc_time_s,controller_timestamp,robot_mode,axis,target_speed_deg_s,target_delta_deg,selected_actual_deg_s,speed_error_deg_s,command_interval_ms,command_latency_ms,target_x,target_y,target_z,target_rx,target_ry,target_rz,actual_x,actual_y,actual_z,actual_rx,actual_ry,actual_rz,tcp_vx,tcp_vy,tcp_vz,tcp_wx,tcp_wy,tcp_wz,response
feedback,0.005974,1786413563958,5,Ry,0.000000,0.000000,0.013733,0.013733,,,360.000000,-134.999496,479.998901,179.999664,0.095911,-179.999969,359.999847,-134.999191,479.998962,179.999588,0.095801,-179.999924,-0.070442,0.010546,0.007768,0.006855,0.013733,0.006878,
command,0.000000,,,Ry,-50.000000,-250.000000,,,,5.508,360.000000,-134.999496,479.998901,179.999664,0.095911,-179.999969,,,,,,,,,,,,,"0,{},MoveJog(Ry-,coordtype=2,user=0,tool=0);"
feedback,0.014009,1786413563967,5,Ry,-50.000000,-250.000000,0.013733,50.013733,,,360.000000,-134.999496,479.998901,179.999664,0.095911,-179.999969,360.000031,-134.999283,479.998749,179.999649,0.095801,-179.999924,-0.009947,0.032597,-0.010506,-0.006866,0.013733,0.006855,
feedback,0.017660,1786413563975,8,Ry,-50.000000,-250.000000,-0.000000,50.000000,,,360.000000,-134.999496,479.998901,179.999664,0.095911,-179.999969,360.000061,-134.999146,479.998688,179.999557,0.095828,-179.999924,-0.021164,-0.011505,-0.039232,0.020588,-0.000000,0.000034,
feedback,0.026217,1786413563983,8,Ry,-50.000000,-250.000000,0.006866,50.006866,,,360.000000,-134.999496,479.998901,179.999664,0.095911,-179.999969,359.999786,-134.999451,479.998962,179.999649,0.095801,-179.999939,-0.075285,-0.204211,0.014363,-0.020599,0.006866,-0.027500,
feedback,0.034363,1786413563992,8,Ry,-50.000000,-250.000000,0.006866,50.006866,,,360.000000,-134.999496,479.998901,179.999664,0.095911,-179.999969,359.999786,-134.999451,479.998810,179.999649,0.095801,-179.999969,-0.047912,-0.086286,-0.024869,-0.000023,0.006866,-0.000000,
feedback,0.042574,1786413564000,8,Ry,-50.000000,-250.000000,-0.013733,49.986267,,,360.000000,-134.999496,479.998901,179.999664,0.095911,-179.999969,359.999939,-134.999069,479.998962,179.999619,0.095801,-179.999924,0.014165,0.086286,0.028780,0.000023,-0.013733,0.000000,
feedback,0.050895,1786413564009,8,Ry,-50.000000,-250.000000,-0.006866,49.993134,,,360.000000,-134.999496,479.998901,179.999664,0.095911,-179.999969,360.000275,-134.998886,479.998932,179.999619,0.095856,-179.999863,0.087244,0.086287,-0.032638,0.000011,-0.006866,0.006866,
feedback,0.059070,1786413564017,8,Ry,-50.000000,-250.000000,0.000000,50.000000,,,360.000000,-134.999496,479.998901,179.999664,0.095911,-179.999969,359.999908,-134.999191,479.999176,179.999695,0.095883,-179.999924,0.011194,0.043143,-0.039233,0.000011,0.000000,0.000000,
feedback,0.067320,1786413564025,8,Ry,-50.000000,-250.000000,-0.013733,49.986267,,,360.000000,-134.999496,479.998901,179.999664,0.095911,-179.999969,359.999817,-134.999191,479.999084,179.999588,0.095966,-179.999924,-0.023177,0.031638,-0.010453,0.020599,-0.013733,0.000035,
feedback,0.075278,1786413564034,8,Ry,-50.000000,-250.000000,-0.048065,49.951935,,,360.000000,-134.999496,479.998901,179.999664,0.095911,-179.999969,359.999878,-134.999619,479.998901,179.999756,0.096158,-179.999924,0.011506,0.000959,0.014469,-0.027477,-0.048065,0.013687,
feedback,0.083849,1786413564042,8,Ry,-50.000000,-250.000000,-0.123596,49.876404,,,360.000000,-134.999496,479.998901,179.999664,0.095911,-179.999969,360.000610,-134.999329,479.998169,179.999557,0.096927,-179.999939,0.051107,-0.011505,-0.125251,0.020588,-0.123596,0.000035,
feedback,0.091827,1786413564050,8,Ry,-50.000000,-250.000000,-0.329590,49.670410,,,360.000000,-134.999496,479.998901,179.999664,0.095911,-179.999969,360.002777,-134.999191,479.995300,179.999695,0.098987,-179.999863,0.333897,-0.043143,-0.459390,-0.000012,-0.329590,-0.000000,
