event,pc_time_s,controller_timestamp,robot_mode,segment,planned_rx_deg_s,planned_ry_deg_s,planned_rz_deg_s,cp,actual_wx_deg_s,actual_wy_deg_s,actual_wz_deg_s,latency_ms,response
feedback,0.021421,1786508566034,5,0,0.0,0.0,0.0,,0.006866461131721735,1.219471990054899e-08,6.162663268582946e-09,,
feedback,0.029454,1786508566060,5,0,0.0,0.0,0.0,,-0.023401346057653427,0.025707805529236794,3.0808866569032034e-08,,
command,0.012811,,,1,5.0,0.0,0.0,100,,,,12.285,"0,{281},RelMovLTool(0.000000,0.000000,0.000000,22.000000,0.000000,0.000000,a=30,v=23,cp=100);"
feedback,0.037815,1786508566065,7,1,5.0,0.0,0.0,,0.016534894704818726,-0.02570781484246254,0.006866451818495989,,
feedback,0.042608,1786508566073,7,1,5.0,0.0,0.0,,-0.007251339964568615,0.019280869513750076,-0.01373291015625,,
feedback,0.050788,1786508566081,7,1,5.0,0.0,0.0,,-0.0028019817546010017,0.02570784091949463,-1.2323543963077555e-08,,
feedback,0.059997,1786508566090,7,1,5.0,0.0,0.0,,-0.002417127601802349,0.006426950916647911,-0.01373291015625,,
command,0.041209,,,2,4.5,0.5,0.0,100,,,,8.340,"0,{282},RelMovLTool(0.000000,0.000000,0.000000,0.540000,0.060000,0.000000,a=30,v=20,cp=100);"
feedback,0.068233,1786508566098,7,2,4.5,0.5,0.0,,0.009668436832726002,-0.025707831606268883,0.006866455078125,,
command,0.053313,,,3,4.0,1.0,0.0,100,,,,6.157,"0,{283},RelMovLTool(0.000000,0.000000,0.000000,0.480000,0.120000,0.000000,a=30,v=18,cp=100);"
feedback,0.076278,1786508566107,7,3,4.0,1.0,0.0,,-0.004449354950338602,-0.0064269681461155415,-0.006866445764899254,,
feedback,0.083482,1786508566115,7,3,4.0,1.0,0.0,,-0.007251303177326918,0.01928088255226612,0.01373291015625,,
feedback,0.092463,1786508566124,7,3,4.0,1.0,0.0,,-0.015657106414437294,0.09640447050333023,0.013732660561800003,,
command,0.077193,,,4,3.5,1.5,0.0,100,,,,5.738,"0,{284},RelMovLTool(0.000000,0.000000,0.000000,0.420000,0.180000,0.000000,a=30,v=16,cp=100);"
feedback,0.100594,1786508566132,7,4,3.5,1.5,0.0,,-0.11157157272100449,0.3149210512638092,-3.2658348914083035e-07,,
feedback,0.108073,1786508566141,7,4,3.5,1.5,0.0,,-0.20408913493156433,0.7069632411003113,-0.027473999187350273,,
command,0.088237,,,5,3.0,2.0,0.0,100,,,,4.980,"0,{285},RelMovLTool(0.000000,0.000000,0.000000,0.360000,0.240000,0.000000,a=30,v=14,cp=100);"
feedback,0.116346,1786508566149,7,5,3.0,2.0,0.0,,-0.2664538025856018,0.9640362858772278,-0.04808998480439186,,
command,0.100428,,,6,2.5,2.5,0.0,100,,,,4.941,"0,{286},RelMovLTool(0.000000,0.000000,0.000000,0.300000,0.300000,0.000000,a=30,v=11,cp=100);"
feedback,0.126956,1786508566157,7,6,2.5,2.5,0.0,,-0.296551376581192,1.2082408666610718,-0.10306228697299957,,
feedback,0.132839,1786508566166,7,6,2.5,2.5,0.0,,-0.25165894627571106,1.3624440431594849,-0.1649513989686966,,
command,0.116804,,,7,2.0,3.0,0.0,100,,,,7.967,"0,{287},RelMovLTool(0.000000,0.000000,0.000000,0.240000,0.360000,0.000000,a=30,v=14,cp=100);"
feedback,0.143370,1786508566174,7,7,2.0,3.0,0.0,,-0.025168832391500473,1.3623855113983154,-0.13771484792232513,,
command,0.128209,,,8,1.5,3.5,0.0,100,,,,5.146,"0,{288},RelMovLTool(0.000000,0.000000,0.000000,0.180000,0.420000,0.000000,a=30,v=16,cp=100);"
feedback,0.150121,1786508566183,7,8,1.5,3.5,0.0,,0.0046007041819393635,1.3559010028839111,-0.20649902522563934,,
feedback,0.157942,1786508566191,7,8,1.5,3.5,0.0,,0.02315560169517994,1.4522383213043213,-0.23413091897964478,,
command,0.145073,,,9,1.0,4.0,0.0,100,,,,6.522,"0,{289},RelMovLTool(0.000000,0.000000,0.000000,0.120000,0.480000,0.000000,a=30,v=18,cp=100);"
feedback,0.166144,1786508566200,7,9,1.0,4.0,0.0,,0.08113685995340347,2.081850051879883,-0.3103382885456085,,
feedback,0.174186,1786508566204,7,9,1.0,4.0,0.0,,0.062092967331409454,2.2231390476226807,-0.3654628396034241,,
command,0.161852,,,10,0.5,4.5,0.0,100,,,,7.654,"0,{290},RelMovLTool(0.000000,0.000000,0.000000,0.060000,0.540000,0.000000,a=30,v=21,cp=100);"
feedback,0.183768,1786508566213,7,10,0.5,4.5,0.0,,0.011599802412092686,2.666348457336426,-0.42782461643218994,,
feedback,0.192945,1786508566221,7,10,0.5,4.5,0.0,,0.01501502562314272,3.1479783058166504,-0.5111091136932373,,
feedback,0.199428,1786508566229,7,10,0.5,4.5,0.0,,-0.08367197960615158,3.462477922439575,-0.5597990155220032,,
feedback,0.207163,1786508566238,7,10,0.5,4.5,0.0,,0.16295497119426727,3.5906829833984375,-0.4653010368347168,,
command,0.188517,,,11,0.0,5.0,0.0,100,,,,5.611,"0,{291},RelMovLTool(0.000000,0.000000,0.000000,0.000000,0.600000,0.000000,a=30,v=23,cp=100);"
feedback,0.215260,1786508566246,7,11,0.0,5.0,0.0,,0.16135971248149872,3.5196378231048584,-0.5002751350402832,,
feedback,0.223363,1786508566255,7,11,0.0,5.0,0.0,,0.21441663801670074,3.4484243392944336,-0.6247076988220215,,
command,0.204406,,,12,0.0,5.0,0.0,100,,,,5.993,"0,{292},RelMovLTool(0.000000,0.000000,0.000000,0.000000,19.000000,0.000000,a=30,v=23,cp=100);"
feedback,0.231442,1786508566263,7,12,0.0,5.0,0.0,,0.15971414744853973,3.6279449462890625,-0.6598670482635498,,
feedback,0.239917,1786508566272,7,12,0.0,5.0,0.0,,0.0762491449713707,3.9744338989257812,-0.7021611332893372,,
command,0.222590,,,13,-0.5,4.5,0.0,100,,,,9.133,"0,{293},RelMovLTool(0.000000,0.000000,0.000000,-0.060000,0.540000,0.000000,a=30,v=21,cp=100);"
feedback,0.249102,1786508566280,7,13,-0.5,4.5,0.0,,0.05072188749909401,4.52554988861084,-0.9519627690315247,,
feedback,0.256255,1786508566289,7,13,-0.5,4.5,0.0,,0.0037786713801324368,4.865393161773682,-0.9331147074699402,,
feedback,0.264746,1786508566297,7,13,-0.5,4.5,0.0,,-0.18736237287521362,5.057383060455322,-0.9952882528305054,,
command,0.249001,,,14,-1.0,4.0,0.0,100,,,,8.637,"0,{294},RelMovLTool(0.000000,0.000000,0.000000,-0.120000,0.480000,0.000000,a=30,v=18,cp=100);"
feedback,0.275242,1786508566306,7,14,-1.0,4.0,0.0,,-0.04522815719246864,5.024688243865967,-0.9152039885520935,,
command,0.260191,,,15,-1.5,3.5,0.0,100,,,,5.247,"0,{295},RelMovLTool(0.000000,0.000000,0.000000,-0.180000,0.420000,0.000000,a=30,v=16,cp=100);"
feedback,0.281200,1786508566314,7,15,-1.5,3.5,0.0,,-0.14028799533843994,4.998244285583496,-0.9704771041870117,,
feedback,0.289067,1786508566323,7,15,-1.5,3.5,0.0,,-0.36288267374038696,5.113783359527588,-0.9081409573554993,,
command,0.276967,,,16,-2.0,3.0,0.0,100,,,,6.918,"0,{296},RelMovLTool(0.000000,0.000000,0.000000,-0.240000,0.360000,0.000000,a=30,v=14,cp=100);"
feedback,0.298381,1786508566331,7,16,-2.0,3.0,0.0,,-0.2202751338481903,5.003578186035156,-0.9652550220489502,,
feedback,0.308076,1786508566340,7,16,-2.0,3.0,0.0,,-0.13403703272342682,4.771691799163818,-0.952648937702179,,
feedback,0.314707,1786508566348,7,16,-2.0,3.0,0.0,,0.011900355108082294,4.7061285972595215,-0.9764354228973389,,
feedback,0.322403,1786508566357,7,16,-2.0,3.0,0.0,,0.016671709716320038,4.65419340133667,-0.9774172306060791,,
command,0.304978,,,17,-2.5,2.5,0.0,100,,,,8.311,"0,{297},RelMovLTool(0.000000,0.000000,0.000000,-0.300000,0.300000,0.000000,a=30,v=11,cp=100);"
feedback,0.331988,1786508566361,7,17,-2.5,2.5,0.0,,0.07609836012125015,4.640969276428223,-0.9512531757354736,,
feedback,0.339430,1786508566370,7,17,-2.5,2.5,0.0,,0.05737388879060745,4.723852157592773,-0.9526424407958984,,
feedback,0.347351,1786508566379,7,17,-2.5,2.5,0.0,,-0.0045914179645478725,4.7043137550354,-0.8979350924491882,,
feedback,0.356218,1786508566387,7,17,-2.5,2.5,0.0,,-0.05478386953473091,4.960446357727051,-0.9273625016212463,,
command,0.338263,,,18,-3.0,2.0,0.0,100,,,,15.046,"0,{298},RelMovLTool(0.000000,0.000000,0.000000,-0.360000,0.240000,0.000000,a=30,v=14,cp=100);"
feedback,0.364166,1786508566396,7,18,-3.0,2.0,0.0,,-0.08926576375961304,5.190390586853027,-0.9714133739471436,,
feedback,0.372175,1786508566404,7,18,-3.0,2.0,0.0,,-0.09447087347507477,5.273141384124756,-0.9938251376152039,,
feedback,0.380859,1786508566413,7,18,-3.0,2.0,0.0,,-0.11041096597909927,5.170357704162598,-0.9255748391151428,,
command,0.360632,,,19,-3.5,1.5,0.0,100,,,,7.913,"0,{299},RelMovLTool(0.000000,0.000000,0.000000,-0.420000,0.180000,0.000000,a=30,v=16,cp=100);"
feedback,0.388224,1786508566421,7,19,-3.5,1.5,0.0,,-0.08616470545530319,5.137345790863037,-0.9408836364746094,,
feedback,0.397580,1786508566430,7,19,-3.5,1.5,0.0,,-0.09615211933851242,5.053615570068359,-0.8864933252334595,,
command,0.377249,,,20,-4.0,1.0,0.0,100,,,,7.727,"0,{300},RelMovLTool(0.000000,0.000000,0.000000,-0.480000,0.120000,0.000000,a=30,v=18,cp=100);"
